Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
117,0.0,912439.6787482743,81180.00962566759,980702.4750478229,901372.9909789842,92246.69739495787,26311.9756986494,52460794.712555364,445336989.2180872
118,0.0,922262.2333350475,67543.2,1012239.6810869789,913054.5538978872,76750.87943716021,23978.07810972483,52460794.712555364,445336989.2180872
119,0.0,930781.0164173534,67543.2,1006262.7739377706,921573.3369801932,76750.87943716021,34598.62835543333,52460794.712555364,445336989.2180872
120,0.0,902059.5412569823,67543.2,959893.1561366685,892851.8618198221,76750.87943716021,26553.449900161027,52460794.712555364,445336989.2180872
121,0.0,908023.7755273429,60000.0,980966.9488486645,891272.8960901827,76750.87943716021,29525.746420374577,52460794.712555364,445336989.2180872
122,0.0,904226.6782738826,75086.4,959129.1942994322,902562.1988367226,76750.87943716021,29743.077342464236,52460794.712555364,445336989.2180872
123,0.0,909517.1386526983,60000.0,986510.3624283564,892766.259215538,76750.87943716021,28627.003197773305,52460794.712555364,445336989.2180872
124,0.0,905479.1016047088,20000.0,951546.1904998793,834573.2760741918,90905.82553051702,44763.69498969341,52460794.712555364,445336989.2180872
125,0.0,916071.3775469648,135086.40000000002,1004700.4535660489,974406.8981098045,76750.87943716021,40414.157562523105,52460794.712555364,445336989.2180872
126,0.0,890167.2792887267,67543.2,940340.2098866762,880959.5998515666,76750.87943716021,29451.33675644435,52460794.712555364,445336989.2180872
127,0.0,902278.9213976725,67543.2,980282.4770561343,893071.2419605122,76750.87943716021,27825.368485657415,52460794.712555364,445336989.2180872
128,0.0,897511.9774314187,67543.2,935136.9759248418,888304.2979942583,76750.87943716021,28066.176192487434,52460794.712555364,445336989.2180872
129,0.0,880961.0622597914,76137.82567920236,947529.7134184232,870581.7392206629,86517.1487183311,27179.02420877657,52460794.712555364,445336989.2180872
130,0.0,826687.9403302028,67543.2,839048.7826192366,817480.2608930427,76750.87943716021,30430.334546383558,52460794.712555364,445336989.2180872
131,0.0,910357.4635905902,67543.2,940049.8987725348,901149.7841534299,76750.87943716021,25584.08967377129,52460794.712555364,445336989.2180872
132,0.0,909098.7866843576,67543.2,984069.3717165467,899891.1072471973,76750.87943716021,22974.857463386754,52460794.712555364,445336989.2180872
133,0.0,897529.0933850674,67543.2,952066.2510138765,888321.4139479072,76750.87943716021,27145.572737933602,52460794.712555364,445336989.2180872
134,0.0,897462.4400710772,67543.2,936566.9765321254,888254.760633917,76750.87943716021,31022.48399001204,52460794.712555364,445336989.2180872
135,0.0,888438.2433934009,67543.2,945337.7247009879,879230.5639562407,76750.87943716021,27479.061335912775,52460794.712555364,445336989.2180872
136,0.0,854219.2017735476,67543.2,871193.9322476215,845011.5223363875,76750.87943716021,30271.50288162984,52460794.712555364,445336989.2180872
137,0.0,844760.1953956042,71609.65032297706,851562.8127090626,834998.1659865578,81371.67973202353,25798.32763941526,52460794.712555364,445336989.2180872
138,0.0,895038.3287824885,76490.13947056906,924620.4042361301,884610.9773341017,86917.49091895581,27221.81077585286,52460794.712555364,445336989.2180872
139,0.0,876151.0926607237,67543.2,881674.7898575556,866943.4132235635,76750.87943716021,26515.06240188648,52460794.712555364,445336989.2180872
140,0.0,891444.0599502339,67543.2,931880.1811449947,882236.3805130736,76750.87943716021,27865.255883938593,52460794.712555364,445336989.2180872
141,0.0,878540.8026158063,70329.3304993431,896595.7441672339,868953.3100145074,79916.82310064191,21319.14585715345,52460794.712555364,445336989.2180872
142,0.0,905258.404707879,24848.159997593844,950009.3794250267,853355.6852683126,76750.87943716021,35891.06059986607,52460794.712555364,445336989.2180872
143,0.0,883136.916938169,107543.2,934673.8589381693,916991.6729542151,73688.44398395398,44709.822576856,52460794.712555364,445336989.2180872
144,0.0,898828.2557740043,63004.73760158221,935175.1568497807,885082.1139384262,76750.87943716021,24728.93814469009,52460794.712555364,445336989.2180872
145,0.0,867208.9227923837,67543.2,889533.4597287895,863158.4017423156,71593.72105006795,32890.25577628959,52460794.712555364,445336989.2180872
146,0.0,901219.051529139,67543.2,939346.9939575216,892011.3720919788,76750.87943716021,29289.669086691534,52460794.712555364,445336989.2180872
147,0.0,899551.2386967654,67543.2,949109.3135956624,890343.5592596051,76750.87943716021,34092.298614016756,52460794.712555364,445336989.2180872
148,0.0,848504.6286573672,67543.2,869703.5315890596,839296.9492202069,76750.87943716021,26979.577816863875,52460794.712555364,445336989.2180872
149,0.0,859407.7229633139,67543.2,869460.1236975916,850200.0435261535,76750.87943716023,29384.74870208443,52460794.712555364,445336989.2180872
150,0.0,895457.5751902852,67543.2,923859.898922847,886249.895753125,76750.87943716021,27760.21383933188,52460794.712555364,445336989.2180872
151,0.0,881518.4816251368,67543.2,900110.1009507935,872310.8021879765,76750.87943716021,27383.025407060675,52460794.712555364,445336989.2180872
152,0.0,874259.4566128587,68574.05225247111,886822.5627762396,864911.2484905336,77922.26037479621,30611.02761869501,52460794.712555364,445336989.2180872
153,0.0,900920.8398781597,67543.2,943525.7434877802,891713.1604409995,76750.87943716021,26020.422183136125,52460794.712555364,445336989.2180872
154,0.0,913180.9292781783,85143.8322,946654.8273060253,901573.8820410179,96750.87943716021,26966.961885318615,52460794.712555364,445336989.2180872
155,0.0,916024.8023407225,67543.2,989127.4491832273,906817.1229035622,76750.87943716021,31058.152845852226,52460794.712555364,445336989.2180872
156,0.0,900121.000422972,92014.35707415474,953478.4765077056,887577.3438660542,104558.01363107254,27339.693352503175,52460794.712555364,445336989.2180872
157,0.0,888633.3601909686,74597.47371681964,900886.2406716343,878464.0222738065,84766.81163398169,26166.842846564206,52460794.712555364,445336989.2180872
