Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,Benefit,npv
227,0.0,150251.36849999998,0.0,150251.36849999998,100000.0,50251.36849999998,83750.53152664998,57231472.607204266,474124441.4598438
228,0.0,102775.26300000004,0.0,157614.63150000002,100000.0,2775.2630000000354,86354.00574695002,57231472.607204266,474124441.4598438
229,0.0,153557.5263,0.0,156341.5263,100000.0,53557.5263,136596.32116898004,57231472.607204266,474124441.4598438
230,0.0,145049.0526,0.0,145049.0526,100000.0,45049.052599999995,178856.83741304002,57231472.607204266,474124441.4598438
231,0.0,119353.89480000001,0.0,119353.8948,100000.0,19353.89480000001,197012.72612492,57231472.607204266,474124441.4598438
232,0.0,87355.57890000001,0.0,87355.57890000001,87355.57890000001,0.0,197012.72612492,57231472.607204266,474124441.4598438
233,0.0,42401.3685,0.0,42401.3685,42401.3685,0.0,197012.72612492,57231472.607204266,474124441.4598438
234,0.0,5238.6314999999995,53557.5263,5238.6314999999995,58796.1578,0.0,139921.23662486672,57231472.607204266,474124441.4598438
235,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481344,57231472.607204266,474124441.4598438
236,0.0,0.0,14417.815352640784,0.0,14417.815352640784,0.0,67460.58034873329,57231472.607204266,474124441.4598438
237,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848680004,57231472.607204266,474124441.4598438
238,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848680004,57231472.607204266,474124441.4598438
239,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848680004,57231472.607204266,474124441.4598438
240,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
241,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
242,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
243,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
